"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1999:Q2","SomeCollege",7604220,9219370,2408412,699770,1324378,2429512,830036,1527262,1615150,1097912,448469,68768
"1999:Q2","HS",6723016,7988020,2311642,670419,992560,2068709,656474,1288216,1265004,857948,358929,48127
"1999:Q2","NoHS",1701199,1982019,751684,231589,134118,354638,161172,348818,280820,174465,99845,6510
"1999:Q3","College",22408899,25408504,5370706,1337467,6157876,5322773,2807444,4412238,2999604,2178529,586421,234654
"1999:Q3","SomeCollege",7473611,9103220,2444922,694797,1259506,2348515,833407,1522073,1629609,1107471,452054,70085
"1999:Q3","HS",6828257,8128455,2382008,693288,940349,2134238,666940,1311632,1300198,883155,372607,44436
"1999:Q3","NoHS",1769518,2058214,757695,225181,138670,408055,172260,356352,288695,182068,100813,5814
"1999:Q4","College",24319357,27456767,5600246,1368252,7476775,5653662,2885226,4472607,3137410,2262447,612221,262742
"1999:Q4","SomeCollege",7897486,9540347,2447662,704765,1449419,2554623,827581,1556297,1642861,1101677,456653,84531
"1999:Q4","HS",6994343,8302858,2400131,686634,1071920,2106646,673369,1364159,1308515,885112,381182,42221
"1999:Q4","NoHS",1788141,2083571,769403,231470,165976,366476,177387,372859,295430,185239,103565,6626
"2000:Q1","College",25194316,28454773,5882201,1407847,7908324,5804646,2903572,4548183,3260457,2341009,617143,302305
"2000:Q1","SomeCollege",8090873,9734717,2496004,709331,1503967,2602951,834137,1588327,1643844,1089930,449579,104335
"2000:Q1","HS",7109740,8413983,2467302,699945,1108553,2133509,671006,1333668,1304243,878913,384426,40904
"2000:Q1","NoHS",1843454,2141158,785930,230804,181633,386329,195581,360881,297704,186880,102616,8208
"2000:Q2","College",24984408,28340314,6200988,1445938,7462898,5810887,2938191,4481413,3355907,2420191,644588,291128
"2000:Q2","SomeCollege",8005950,9657834,2534010,713164,1424881,2562963,837466,1585350,1651883,1096321,454727,100835
"2000:Q2","HS",7116199,8450852,2513040,714033,1049251,2164508,668251,1341769,1334652,899080,397756,37816
"2000:Q2","NoHS",1928253,2233002,812540,231577,184400,429043,213375,362067,304750,193513,104699,6537
"2000:Q3","College",25471664,28945428,6426546,1479499,7463434,5906711,3133937,4535301,3473764,2500438,681497,291829
"2000:Q3","SomeCollege",8016064,9685594,2593851,709180,1404991,2567480,820138,1589953,1669530,1102452,464550,102527
"2000:Q3","HS",7268789,8634314,2603526,735372,1024842,2183734,719521,1367318,1365525,918847,412452,34226
"2000:Q3","NoHS",1959231,2273659,825618,224132,191059,455369,206812,370669,314429,200074,108574,5781
"2000:Q4","College",25197996,28747541,6771296,1513147,6541108,5843590,3247318,4831082,3549545,2556323,722004,271218
"2000:Q4","SomeCollege",7798811,9478004,2613999,714520,1239308,2464849,820910,1624418,1679194,1108883,476416,93894
"2000:Q4","HS",7210990,8618289,2626095,743841,893834,2212764,736735,1405020,1407299,943701,430224,33374
"2000:Q4","NoHS",2032618,2356736,848620,230249,181134,509727,209261,377744,324118,207877,112623,3619
"2001:Q1","College",25288284,28873680,7314448,1542954,5860551,5762167,3322048,5071511,3585396,2616853,728735,239808
